repo,project,references,referencePath,crossRepo
src,KurrentDB,KurrentDB.OtlpExporterPlugin,KurrentDB.OtlpExporterPlugin/KurrentDB.OtlpExporterPlugin.csproj,False
src,KurrentDB,KurrentDB.PluginHosting,KurrentDB.PluginHosting/KurrentDB.PluginHosting.csproj,False
src,KurrentDB,KurrentDB.POC.ConnectedSubsystemsPlugin,KurrentDB.POC.ConnectedSubsystemsPlugin/KurrentDB.POC.ConnectedSubsystemsPlugin.csproj,False
src,KurrentDB,KurrentDB.Projections.Core,KurrentDB.Projections.Core/KurrentDB.Projections.Core.csproj,False
src,KurrentDB,KurrentDB.Security.EncryptionAtRest,KurrentDB.Security.EncryptionAtRest/KurrentDB.Security.EncryptionAtRest.csproj,False
src,KurrentDB,KurrentDB.AutoScavenge,KurrentDB.AutoScavenge/KurrentDB.AutoScavenge.csproj,False
src,KurrentDB,KurrentDB.TcpPlugin,KurrentDB.TcpPlugin/KurrentDB.TcpPlugin.csproj,False
src,KurrentDB,KurrentDB.SecondaryIndexing,KurrentDB.SecondaryIndexing/KurrentDB.SecondaryIndexing.csproj,False
src,KurrentDB,KurrentDB.UI,KurrentDB.UI/KurrentDB.UI.csproj,False
src,KurrentDB,KurrentDB.Plugins.Connectors,Connectors/KurrentDB.Plugins.Connectors/KurrentDB.Plugins.Connectors.csproj,False
src,KurrentDB,KurrentDB.Plugins.SchemaRegistry,SchemaRegistry/KurrentDB.Plugins.SchemaRegistry/KurrentDB.Plugins.SchemaRegistry.csproj,False
src,KurrentDB,KurrentDB.Plugins.Api.V2,KurrentDB.Plugins.Api.V2/KurrentDB.Plugins.Api.V2.csproj,False
